"","X1ha.Plot.Number","Sampling.Period","Site.Name","siteyear","richness","shannon","berger","wd.nbsp","wd.sing.sp","wd.FEve","wd.FDis","wd.RaoQ","wd.wd","PD","SR","TEAM_mpd","TEAM_mpd_with_abundance","TEAM_mntd","phy_ent","TEAM_mntd_with_abundance","Species","D","Dstar","Lambda","Dplus","sd.Dplus","SDplus","ED","EDstar","EDplus","PlotBiomass.kg","PlotCarbon.tonnes","Reserve_size.sqkm","Continent","Country","Precip_mean.mm","Precip_CV","Elevation","Distance_to_forest_edge","Latitude","Longitude","Annual_Evapotranspiration"
"34","VG-BBS-5",2014.01,"Bukit Barisan","VG-BBS-5 2014.01",62,3.47828384,0.13978495,62,60,0.438476238008231,0.722415958331208,0.896543871634722,0.545477793240143,7309.421969,60,486.82435780565,455.858683645636,173.7550727,3.17014317007399,161.033651876812,60,442.607025408617,464.902757106477,14014.7005404293,500.05597569887,11.5248286257681,30003.3585419322,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","VG-BBS-5",2015.01,"Bukit Barisan","VG-BBS-5 2015.01",62,3.47147999,0.14385965,62,60,0.435156244435056,0.71944698952971,0.8879454515865,0.545025218361403,7309.421969,60,486.82435780565,455.936820530456,173.7550727,3.16422559317339,161.10847685461,60,442.362997423033,465.002237103311,14014.7005404293,500.05597569887,11.5248286257681,30003.3585419322,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","VG-BBS-6",2009.01,"Bukit Barisan","VG-BBS-6 2009.01",66,3.1518578,0.19203747,66,64,0.45987778186953,0.49068716642116,0.422813547588259,0.585170990763125,7579.912818,65,481.291167039423,430.789861524389,166.713162861538,2.82517907173565,184.405108457746,65,438.187781041348,476.943919955368,13377.4943049703,493.510823325962,11.0269970636767,32078.2035161875,496.530391750682,495.180387692304,495.397820021338,374235.4,205.83,3560,"Asia","Indonesia",2871.332897,0.145998519,166,0.1,NA,NA,NA
"37","VG-BBS-6",2010.01,"Bukit Barisan","VG-BBS-6 2010.01",66,3.15119193,0.19069767,66,64,0.459480930030733,0.489304861783449,0.420833884943178,0.585376784783382,7579.912818,65,481.291167039423,431.041190272559,166.713162861538,2.82580545279971,185.264455030303,65,438.297737450733,476.949980850129,13377.4943049703,493.510823325962,11.0269970636767,32078.2035161875,496.530391750682,495.180387692304,495.397820021338,384264.25,211.35,3560,"Asia","Indonesia",2871.332897,0.145998519,166,0.1,-5.25,104.167,141.5625745
"38","VG-BBS-6",2011.01,"Bukit Barisan","VG-BBS-6 2011.01",66,3.14543301,0.18981481,66,64,0.459602805158251,0.486254636716245,0.418186889662618,0.585701695187163,7565.406637,65,481.1711971625,431.1049099125,166.266818846154,2.81893754235781,186.79512324594,65,437.425770074224,476.322110789067,13223.5162573442,493.404046698077,11.0269970636767,32071.263035375,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","VG-BBS-6",2012.01,"Bukit Barisan","VG-BBS-6 2012.01",66,3.14615381,0.18906606,66,64,0.456836842631249,0.485894126358093,0.417822616527419,0.58688374591083,7565.406637,65,481.1711971625,431.182217039219,166.266818846154,2.82065817674777,188.210565979452,65,436.521046588069,475.287822355917,13223.5162573442,493.404046698077,11.0269970636767,32071.263035375,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","VG-BBS-6",2013.01,"Bukit Barisan","VG-BBS-6 2013.01",66,3.14154985,0.18609865,66,64,0.455955618480538,0.486432534108587,0.418643924672334,0.58648213086066,7565.406637,65,481.1711971625,430.79347696709,166.266818846154,2.81535027488392,188.226970678652,65,437.719301447414,476.451809627585,13223.5162573442,493.404046698077,11.0269970636767,32071.263035375,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","VG-BBS-6",2014.01,"Bukit Barisan","VG-BBS-6 2014.01",66,3.14669529,0.18584071,66,64,0.450542372450395,0.490974402776919,0.422907085724258,0.585956106729767,7565.406637,65,481.1711971625,430.728483620159,166.266818846154,2.81943151402839,188.15875056541,65,438.380385093235,476.725103440421,13223.5162573442,493.404046698077,11.0269970636767,32071.263035375,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","VG-BBS-6",2015.01,"Bukit Barisan","VG-BBS-6 2015.01",66,3.14700951,0.18380744,66,64,0.447520019243693,0.491356042227907,0.422932972723267,0.585236555647384,7565.406637,65,481.1711971625,429.931877454823,166.266818846154,2.81671792774111,187.391863942982,65,439.968677298168,478.220810365583,13223.5162573442,493.404046698077,11.0269970636767,32071.263035375,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","VG-BCI-1",2010.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2010.01",75,3.46121435,0.20588235,75,75,0.418130742529948,0.638720551750775,0.713856978899589,0.621583606427669,8613.300899,71,495.499720420926,496.78783590587,169.147810830986,3.20562249814073,210.90067746083,71,486.473274377199,522.11401114551,15065.6939982386,524.927888531187,10.5011074022828,37269.8800857143,496.530391750682,495.180387692304,495.397820021338,285362.27,156.95,274,"Latin America","Panama",2420,0.608913889,58,0.5,9.152,-79.846,121.5588894
